NAME,OVERALL_PICK,PLAYER_ID
Jim McIlvaine,32,29
Derrick Alston,33,308
Gaylon Nickerson,34,1093
Michael Smith,35,63
Dontonio Wingfield,37,112
Darrin Hancock,38,241
Anthony Miller,39,292
Jeff Webster,40,1067
Shawnelle Scott,43,1035
Dwayne Morton,45,132
Voshon Lenard,46,702
Jamie Watson,47,320
Charles Claxton,50,1127
Lawrence Funderburke,51,1444
Anthony Goldwire,52,924
Joe Smith,1,693
Antonio McDyess,2,686
Jerry Stackhouse,3,711
Rasheed Wallace,4,739
Kevin Garnett,5,708
Bryant Reeves,6,735
Damon Stoudamire,7,757
Shawn Respert,8,704
Ed O'Bannon,9,709
Kurt Thomas,10,703
Gary Trent,11,718
Cherokee Parks,12,685
Corliss Williamson,13,722
Eric Williams,14,677
Brent Barry,15,699
Alan Henderson,16,673
Bob Sura,17,682
Theo Ratliff,18,689
Randolph Childress,19,719
Jason Caffey,20,679
Michael Finley,21,714
Travis Best,23,696
Loren Meyer,24,684
David Vaughn,25,710
Sherell Ford,26,726
Mario Bennett,27,712
Greg Ostertag,28,731
Cory Alexander,29,724
Lou Roe,30,691
Terrence Rencher,32,720
Junior Burrough,33,675
Andrew DeClercq,34,692
Jimmy King,35,728
Lawrence Moten,36,734
Frankie King,37,701
Donny Marshall,39,681
Dwayne Whitfield,40,730
Donnie Boyce,42,671
Eric Snow,43,727
Troy Brown,45,1628972
Tyus Edney,47,721
Mark Davis,48,707
Jerome Allen,49,706
Martin Lewis,50,729
Fred Hoiberg,52,697
Michael McDonald,55,1075
Chris Carr,56,713
Cuonzo Martin,57,733
Don Reid,58,690
Allen Iverson,1,947
Marcus Camby,2,948
Shareef Abdur-Rahim,3,949
Stephon Marbury,4,950
Ray Allen,5,951
Antoine Walker,6,952
Lorenzen Wright,7,953
Kerry Kittles,8,954
Samaki Walker,9,955
Erick Dampier,10,956
Todd Fuller,11,957
Vitaly Potapenko,12,958
Kobe Bryant,13,977
Steve Nash,15,959
Tony Delk,16,960
Jermaine O'Neal,17,979
John Wallace,18,961
Walter McCarty,19,962
Zydrunas Ilgauskas,20,980
Dontae' Jones,21,963
Roy Rogers,22,964
Efthimios Rentzias,23,981
Derek Fisher,24,965
Jerome Williams,26,966
Brian Evans,27,967
