NAME,OVERALL_PICK,PLAYER_ID
Terrence Ross,8,203082
Andre Drummond,9,203083
Austin Rivers,10,203085
Meyers Leonard,11,203086
Jeremy Lamb,12,203087
Kendall Marshall,13,203088
John Henson,14,203089
Maurice Harkless,15,203090
Royce White,16,203091
Tyler Zeller,17,203092
Terrence Jones,18,203093
Andrew Nicholson,19,203094
Evan Fournier,20,203095
Jared Sullinger,21,203096
Fab Melo,22,203097
John Jenkins,23,203098
Jared Cunningham,24,203099
Tony Wroten,25,203100
Miles Plumlee,26,203101
Arnett Moultrie,27,203102
Perry Jones,28,203103
Marquis Teague,29,203104
Festus Ezeli,30,203105
Jeff Taylor,31,78299
Bernard James,33,203108
Jae Crowder,34,203109
Draymond Green,35,203110
Orlando Johnson,36,203111
Quincy Acy,37,203112
Quincy Miller,38,203113
Khris Middleton,39,203114
Will Barton,40,203115
Tyshawn Taylor,41,203116
Doron Lamb,42,203117
Mike Scott,43,203118
Kim English,44,203119
Justin Hamilton,45,203120
Darius Miller,46,203121
Kevin Murphy,47,203122
Kostas Papanikolaou,48,203123
Kyle O'Quinn,49,203124
Kris Joseph,51,203126
Furkan Aldemir,53,203128
Tornike Shengelia,54,203129
Darius Johnson-Odom,55,203130
Robbie Hummel,58,203133
Robert Sacre,60,203135
Anthony Bennett,1,203461
Victor Oladipo,2,203506
Otto Porter Jr.,3,203490
Cody Zeller,4,203469
Alex Len,5,203458
Nerlens Noel,6,203457
Ben McLemore,7,203463
Kentavious Caldwell-Pope,8,203484
Trey Burke,9,203504
CJ McCollum,10,203468
Michael Carter-Williams,11,203487
Steven Adams,12,203500
Kelly Olynyk,13,203482
Shabazz Muhammad,14,203498
Giannis Antetokounmpo,15,203507
Lucas Nogueira,16,203512
Shane Larkin,18,203499
Sergey Karasev,19,203508
Tony Snell,20,203503
Gorgui Dieng,21,203476
Mason Plumlee,22,203486
Solomon Hill,23,203524
Tim Hardaway Jr.,24,203501
Reggie Bullock,25,203493
Andre Roberson,26,203460
Rudy Gobert,27,203497
Archie Goodwin,29,203462
Allen Crabbe,31,203459
Carrick Felix,33,203467
Isaiah Canaan,34,203477
Ray McCallum,36,203492
Tony Mitchell,37,203183
Nate Wolters,38,203489
Jeff Withey,39,203481
Grant Jerrett,40,203511
Jamaal Franklin,41,203479
Pierre Jackson,42,203510
Ricky Ledo,43,203495
Mike Muscala,44,203488
Erick Green,46,203475
Raul Neto,47,203526
Ryan Kelly,48,203527
Erik Murphy,49,203513
James Ennis III,50,203516
Lorenzo Brown,52,203485
Joffrey Lauvergne,55,203530
Peyton Siva,56,203491
Andrew Wiggins,1,203952
Jabari Parker,2,203953
Joel Embiid,3,203954
Aaron Gordon,4,203932
Dante Exum,5,203957
Marcus Smart,6,203935
Julius Randle,7,203944
Nik Stauskas,8,203917
Noah Vonleh,9,203943
Elfrid Payton,10,203901
Doug McDermott,11,203926
Zach LaVine,13,203897
T.J. Warren,14,203933
Adreian Payne,15,203940
James Young,17,203923
Tyler Ennis,18,203898
Gary Harris,19,203914
Bruno Caboclo,20,203998
Mitch McGary,21,203956
Jordan Adams,22,203919
Rodney Hood,23,203918
Shabazz Napier,24,203894
Clint Capela,25,203991
C.J. Wilcox,28,203912
Josh Huestis,29,203962
Kyle Anderson,30,203937
Damien Inglis,31,203996
Joe Harris,33,203925
Cleanthony Early,34,203921
Jarnell Stokes,35,203950
Johnny O'Bryant,36,203948
Spencer Dinwiddie,38,203915
Jerami Grant,39,203924
Glenn Robinson III,40,203922
Nick Johnson,42,203910
Edy Tavares,43,204002
Markel Brown,44,203900
Dwight Powell,45,203939
Jordan Clarkson,46,203903
Russ Smith,47,203893
Lamar Patterson,48,203934
Cameron Bairstow,49,203946
Thanasis Antetokounmpo,51,203648
Semaj Christon,55,203902
Devyn Marble,56,203906
Jordan McRae,58,203895
Cory Jefferson,60,203928
Karl-Anthony Towns,1,1626157
D'Angelo Russell,2,1626156
Jahlil Okafor,3,1626143
Mario Hezonja,5,1626209
Willie Cauley-Stein,6,1626161
Emmanuel Mudiay,7,1626144
Stanley Johnson,8,1626169
Frank Kaminsky,9,1626163
Justise Winslow,10,1626159
Myles Turner,11,1626167
Trey Lyles,12,1626168
Devin Booker,13,1626164
Cameron Payne,14,1626166
Kelly Oubre Jr.,15,1626162
Terry Rozier,16,1626179
Rashad Vaughn,17,1626173
Sam Dekker,18,1626155
Jerian Grant,19,1626170
Delon Wright,20,1626153
Justin Anderson,21,1626147
Bobby Portis,22,1626171
Rondae Hollis-Jefferson,23,1626178
Tyus Jones,24,1626145
Jarell Martin,25,1626185
Larry Nance Jr.,27,1626204
Chris McCullough,29,1626191
Kevon Looney,30,1626172
Cedi Osman,31,1626224
Montrezl Harrell,32,1626149
Jordan Mickey,33,1626175
Anthony Brown,34,1626148
Rakeem Christmas,36,1626176
Richaun Holmes,37,1626158
Darrun Hilliard,38,1626199
Josh Richardson,40,1626196
Pat Connaughton,41,1626192
Joe Young,43,1626202
Andrew Harrison,44,1626150
Marcus Thornton,45,201977
Norman Powell,46,1626181
Dakari Johnson,48,1626177
Branden Dawson,56,1626183
Ben Simmons,1,1627732
Brandon Ingram,2,1627742
Jaylen Brown,3,1627759
Dragan Bender,4,1627733
Kris Dunn,5,1627739
Buddy Hield,6,1627741
Jamal Murray,7,1627750
Marquese Chriss,8,1627737
Jakob Poeltl,9,1627751
Thon Maker,10,1627748
Domantas Sabonis,11,1627734
Taurean Prince,12,1627752
Georgios Papagiannis,13,1627834
Denzel Valentine,14,1627756
Guerschon Yabusele,16,1627824
Wade Baldwin,17,1627735
Henry Ellenson,18,1627740
Malik Beasley,19,1627736
Caris LeVert,20,1627747
DeAndre' Bembry,21,1627761
Malachi Richardson,22,1627781
Brice Johnson,25,1627744
Furkan Korkmaz,26,1627788
Pascal Siakam,27,1627783
Dejounte Murray,29,1627749
Damian Jones,30,1627745
Deyonta Davis,31,1627738
Ivica Zubac,32,1627826
Cheick Diallo,33,1627767
Tyler Ulis,34,1627755
Malcolm Brogdon,36,1627763
Chinanu Onuaku,37,1627778
Patrick McCaw,38,1627775
Diamond Stone,40,1627754
Stephen Zimmerman,41,1627757
Isaiah Whitehead,42,1627785
Zhou Qi,43,1627753
Demetrius Jackson,45,1627743
Jake Layman,47,1627774
Paul Zipser,48,1627835
Michael Gbinije,49,1627771
Georges Niang,50,1627777
Ben Bentil,51,1627791
Joel Bolomboy,52,1627762
Petr Cornelie,53,1627822
Kay Felder,54,1627770
Marcus Paige,55,1627779
Daniel Hamilton,56,1627772
Abdel Nader,58,1627846
Tyrone Wallace,60,1627820
Markelle Fultz,1,1628365
Lonzo Ball,2,1628366
Jayson Tatum,3,1628369
Josh Jackson,4,1628367
De'Aaron Fox,5,1628368
Jonathan Isaac,6,1628371
Lauri Markkanen,7,1628374
Frank Ntilikina,8,1628373
Dennis Smith Jr.,9,1628372
Zach Collins,10,1628380
Malik Monk,11,1628370
Luke Kennard,12,1628379
Donovan Mitchell,13,1628378
Bam Adebayo,14,1628389
Justin Jackson,15,1628382
Justin Patton,16,1628383
D.J. Wilson,17,1628391
T.J. Leaf,18,1628388
John Collins,19,1628381
Harry Giles,20,1628385
Terrance Ferguson,21,1628390
Jarrett Allen,22,1628386
OG Anunoby,23,1628384
Tyler Lydon,24,1628399
Caleb Swanigan,26,1628403
Kyle Kuzma,27,1628398
Tony Bradley,28,1628396
Derrick White,29,1628401
Josh Hart,30,1628404
Frank Jackson,31,1628402
Davon Reed,32,1628432
Wes Iwundu,33,1628411
Frank Mason III,34,1628412
Ivan Rabb,35,1628397
Jonah Bolden,36,1628413
Semi Ojeleye,37,1628400
Jordan Bell,38,1628395
Jawun Evans,39,1628393
Dwayne Bacon,40,1628407
Tyler Dorsey,41,1628416
Thomas Bryant,42,1628418
Isaiah Hartenstein,43,1628392
Damyean Dotson,44,1628422
Dillon Brooks,45,1628415
Sterling Brown,46,1628425
Ike Anigbogu,47,1628387
Sindarius Thornwell,48,1628414
Monte Morris,51,1628420
Edmond Sumner,52,1628410
Kadeem Allen,53,1628443
Alec Peters,54,1628409
Nigel Williams-Goss,55,1628430
Jabari Bird,56,1628444
Sasha Vezenkov,57,1628426
Jaron Blossomgame,59,1628417
Deandre Ayton,1,1629028
Marvin Bagley III,2,1628963
Jaren Jackson Jr.,4,1628991
Trae Young,5,1629027
Mo Bamba,6,1628964
Wendell Carter Jr.,7,1628976
Collin Sexton,8,1629012
Kevin Knox,9,1628995
Mikal Bridges,10,1628969
Shai Gilgeous-Alexander,11,1628983
Miles Bridges,12,1628970
Jerome Robinson,13,1629010
Michael Porter Jr.,14,1629008
Troy Brown Jr.,15,1628972
Zhaire Smith,16,1629015
Donte DiVincenzo,17,1628978
Lonnie Walker IV,18,1629022
Kevin Huerter,19,1628989
Josh Okogie,20,1629006
Grayson Allen,21,1628960
Chandler Hutchison,22,1628990
Aaron Holiday,23,1628988
Anfernee Simons,24,1629014
Moritz Wagner,25,1629021
Landry Shamet,26,1629013
Robert Williams,27,1629057
Jacob Evans,28,1628980
Omari Spellman,30,1629016
Elie Okobo,31,1629059
Jevon Carter,32,1628975
Jalen Brunson,33,1628973
Devonte' Graham,34,1628984
Melvin Frazier,35,1628982
Mitchell Robinson,36,1629011
Gary Trent Jr.,37,1629018
Khyri Thomas,38,1629017
Isaac Bonga,39,1629067
Rodions Kurucs,40,1629066
Jarred Vanderbilt,41,1629020
Bruce Brown,42,1628971
Justin Jackson,43,1628382
Hamidou Diallo,45,1628977
De'Anthony Melton,46,1629001
Svi Mykhailiuk,47,1629004
Keita Bates-Diop,48,1628966
Chimezie Metu,49,1629002
Alize Johnson,50,1628993
Devon Hall,53,1628985
Shake Milton,54,1629003
Arnoldas Kulboka,55,1629083
Ray Spalding,56,1629034
Kevin Hervey,57,1628987
Thomas Welsh,58,1629118
George King,59,77268
Kostas Antetokounmpo,60,1628961
Zion Williamson,1,1629627
Ja Morant,2,1629630
RJ Barrett,3,1629628
De'Andre Hunter,4,1629631
Darius Garland,5,1629636
Jarrett Culver,6,1629633
Coby White,7,1629632
Jaxson Hayes,8,1629637
Rui Hachimura,9,1629060
Cam Reddish,10,1629629
Cameron Johnson,11,1629661
P.J. Washington,12,1629023
Tyler Herro,13,1629639
Romeo Langford,14,1629641
Sekou Doumbouya,15,1629635
Chuma Okeke,16,1629643
Nickeil Alexander-Walker,17,1629638
Goga Bitadze,18,1629048
Matisse Thybulle,20,1629680
Brandon Clarke,21,1629634
Grant Williams,22,1629684
Darius Bazley,23,1629647
Ty Jerome,24,1629660
Nassir Little,25,1629642
Dylan Windler,26,1629685
Mfiondu Kabengele,27,1629662
Jordan Poole,28,1629673
Keldon Johnson,29,1629640
Kevin Porter Jr.,30,1629645
Nic Claxton,31,1629651
KZ Okpala,32,1629644
Carsen Edwards,33,1629035
Bruno Fernando,34,1628981
Didi Louzada,35,1629712
Cody Martin,36,1628998
Deividas Sirvydis,37,1629686
Daniel Gafford,38,1629655
Justin James,40,1629713
Eric Paschall,41,1629672
Admiral Schofield,42,1629678
Jaylen Nowell,43,1629669
Bol Bol,44,1629626
Isaiah Roby,45,1629676
Talen Horton-Tucker,46,1629659
Ignas Brazdeikis,47,1629649
Terance Mann,48,1629611
Quinndary Weatherspoon,49,1629683
Jarrell Brantley,50,1629714
Tremont Waters,51,1629682
Jalen McDaniels,52,1629667
Justin Wright-Foreman,53,1629625
Marial Shayok,54,1629621
Kyle Guy,55,1629657
Jordan Bone,57,1629648
Miye Oni,58,1629671
Dewan Hernandez,59,1629608
Anthony Edwards,1,1630162
James Wiseman,2,1630164
LaMelo Ball,3,1630163
Patrick Williams,4,1630172
Isaac Okoro,5,1630171
Onyeka Okongwu,6,1630168
Killian Hayes,7,1630165
Obi Toppin,8,1630167
Deni Avdija,9,1630166
Jalen Smith,10,1630188
Devin Vassell,11,1630170
Tyrese Haliburton,12,1630169
Kira Lewis Jr.,13,1630184
Aaron Nesmith,14,1630174
Cole Anthony,15,1630175
Isaiah Stewart,16,1630191
Aleksej Pokusevski,17,1630197
Josh Green,18,1630182
Saddiq Bey,19,1630180
Precious Achiuwa,20,1630173
Tyrese Maxey,21,1630178
Zeke Nnaji,22,1630192
Leandro Bolmaro,23,1630195
R.J. Hampton,24,1630181
Immanuel Quickley,25,1630193
Payton Pritchard,26,1630202
Udoka Azubuike,27,1628962
Jaden McDaniels,28,1630183
Malachi Flynn,29,1630201
Desmond Bane,30,1630217
Tyrell Terry,31,1630179
Vernon Carey Jr.,32,1630176
Daniel Oturu,33,1630187
Tyler Bey,36,1630189
Vit Krejci,37,1630249
Saben Lee,38,1630240
Elijah Hughes,39,1630190
Robert Woodard II,40,1630218
Tre Jones,41,1630200
Nick Richards,42,1630208
Jahmi'us Ramsey,43,1630186
Marko Simonovic,44,1630250
Jordan Nwora,45,1629670
CJ Elleby,46,1629604
Nico Mannion,48,1630185
Isaiah Joe,49,1630198
Skylar Mays,50,1630219
Cassius Winston,53,1630216
Cassius Stanley,54,1630199
Jay Scrubb,55,1630206
Grant Riller,56,1630203
Reggie Perry,57,1629617
Paul Reed,58,1630194
Jalen Harris,59,1630223
Sam Merrill,60,1630241
Cade Cunningham,1,1630595
Jalen Green,2,1630224
Evan Mobley,3,1630596
Scottie Barnes,4,1630567
Jalen Suggs,5,1630591
Josh Giddey,6,1630581
Jonathan Kuminga,7,1630228
Franz Wagner,8,1630532
Davion Mitchell,9,1630558
Ziaire Williams,10,1630533
James Bouknight,11,1630547
Joshua Primo,12,1630563
Chris Duarte,13,1630537
Moses Moody,14,1630541
Corey Kispert,15,1630557
Trey Murphy III,17,1630530
Tre Mann,18,1630544
Kai Jones,19,1630539
Jalen Johnson,20,1630552
Keon Johnson,21,1630553
Isaiah Jackson,22,1630543
Usman Garuba,23,1630586
Josh Christopher,24,1630528
Quentin Grimes,25,1629656
Bones Hyland,26,1630538
Cam Thomas,27,1630560
Jaden Springer,28,1630531
Day'Ron Sharpe,29,1630549
Santi Aldama,30,1630583
Isaiah Todd,31,1630225
Jeremiah Robinson-Earl,32,1630526
Jason Preston,33,1630554
Herbert Jones,35,1630529
Miles McBride,36,1630540
JT Thor,37,1630550
Ayo Dosunmu,38,1630245
Neemias Queta,39,1629674
Jared Butler,40,1630215
Joe Wieskamp,41,1630580
Isaiah Livers,42,1630587
Greg Brown III,43,1630535
Kessler Edwards,44,1630556
Dalano Banton,46,1630625
David Johnson,47,77139
Sharife Cooper,48,1630536
Brandon Boston Jr.,51,1630527
Luka Garza,52,1630568
Charles Bassey,53,1629646
Sandro Mamukelashvili,54,1630572
Aaron Wiggins,55,1630598
Scottie Lewis,56,1630575
Jericho Sims,58,1630579
RaiQuan Gray,59,1630564
Georgios Kalaitzakis,60,1630686
Paolo Banchero,1,1631094
Chet Holmgren,2,1631096
Jabari Smith Jr.,3,1631095
Keegan Murray,4,1631099
Jaden Ivey,5,1631093
Bennedict Mathurin,6,1631097
Shaedon Sharpe,7,1631101
Dyson Daniels,8,1630700
Jeremy Sochan,9,1631110
Johnny Davis,10,76526
Ousmane Dieng,11,1631172
Jalen Williams,12,1631114
Jalen Duren,13,1631105
Ochai Agbaji,14,1630534
Mark Williams,15,1631109
AJ Griffin,16,1631100
Tari Eason,17,1631106
Dalen Terry,18,1631207
Jake LaRavia,19,1631222
Malaki Branham,20,1631103
Christian Braun,21,1631128
Walker Kessler,22,1631117
David Roddy,23,1631223
MarJon Beauchamp,24,1630699
Blake Wesley,25,1631104
Wendell Moore Jr.,26,1631111
Patrick Baldwin Jr.,28,1631116
TyTy Washington Jr.,29,1631102
Peyton Watson,30,1631212
Andrew Nembhard,31,1629614
Caleb Houstan,32,1631216
Christian Koloko,33,1631132
Jaylin Williams,34,1642444
Max Christie,35,1631108
Jaden Hardy,37,1630702
Kennedy Chandler,38,1631113
Bryce McGowens,40,1631121
E.J. Liddell,41,1630604
Trevor Keels,42,1631211
Ryan Rollins,44,1631157
Josh Minott,45,1631169
Vince Williams Jr.,47,1631246
Kendall Brown,48,1631112
Isaiah Mobley,49,1630600
Tyrese Martin,51,1631213
JD Davison,53,1631120
Gui Santos,55,1630611
Jabari Walker,57,1631133
Victor Wembanyama,1,1641705
Brandon Miller,2,1641706
Scoot Henderson,3,1630703
Amen Thompson,4,1641708
Ausar Thompson,5,1641709
Anthony Black,6,1641710
Bilal Coulibaly,7,1641731
Jarace Walker,8,1641716
Taylor Hendricks,9,1641707
Cason Wallace,10,1641717
Jett Howard,11,1641724
Dereck Lively II,12,1641726
Gradey Dick,13,1641711
Jordan Hawkins,14,1641722
Kobe Bufkin,15,1641723
Keyonte George,16,1641718
Jalen Hood-Schifino,17,1641720
Jaime Jaquez Jr.,18,1631170
Brandin Podziemski,19,1641764
Cam Whitmore,20,1641715
Noah Clowney,21,1641730
Dariq Whitehead,22,1641727
Kris Murray,23,1631200
Olivier-Maxence Prosper,24,1641765
Marcus Sasser,25,1631204
Ben Sheppard,26,1641767
Nick Smith Jr.,27,1641733
Brice Sensabaugh,28,1641729
Julian Strawther,29,1631124
Kobe Brown,30,1641738
Jalen Pickett,32,1629618
Leonard Miller,33,1631159
Colby Jones,34,1641732
Julian Phillips,35,1641763
Andre Jackson Jr.,36,1641748
Hunter Tyson,37,1641816
Jordan Walsh,38,1641775
Mouhamed Gueye,39,1631243
Maxwell Lewis,40,1641721
Amari Bailey,41,1641735
Tristan Vukcevic,42,1641774
Rayan Rupert,43,1641712
Sidy Cissoko,44,1631321
GG Jackson II,45,1641713
Seth Lundy,46,1641754
Jordan Miller,48,1641757
Emoni Bates,49,1641734
Keyontae Johnson,50,1641749
Jalen Wilson,51,1630592
Toumani Camara,52,1641739
Jaylen Clark,53,1641740
Jalen Slawson,54,1641771
Isaiah Wong,55,1631209
Trayce Jackson-Davis,57,1631218
Chris Livingston,58,1641753
